id,mevcut_sınıf,mevcut_severity,R1_mi,önerilen_sınıf,authority_source,confidence,spec_anchor,normatif_ibare,gerekçe,notlar
ATR_008,Spec,Dusuk,hayır,Spec,GTFS_SPEC,HIGH,#attributionstxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),attribution_email geçersiz
ATR_009,Spec,Yuksek,hayır,Quality,PROJECT_QUALITY,MEDIUM,#attributionstxt,yok,attribution_phone serbest metin; spec'te katı format normu yok,attribution_phone geçersiz
ATR_010,Spec,Dusuk,hayır,Spec,GTFS_SPEC,HIGH,#attributionstxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_id bulunamadı
BKR_001,Spec,Yuksek,hayır,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Önceki gün rezervasyon alanı yasak bağlamda dolu
BKR_002,Spec,Yuksek,hayır,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),prior_notice_start_day yalnızca prior_notice_last_day ile kullanılabilir
BKR_003,Spec,Yuksek,hayır,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),prior_notice_start_time yalnızca prior_notice_start_day ile kullanılabilir
BKR_004,Spec,Yuksek,hayır,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Anlık rezervasyonda prior_notice alanları yasak
BKR_005,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),prior_notice_duration_max yalnızca booking_type=1 ile geçerli (booking_type=0/2 ile yasak)
BKR_006,Spec,Yuksek,hayır,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),prior_notice_duration_min geçersiz (≤ 0 veya sayısal değil)
BKR_007,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),booking_type=1 için prior_notice_duration_min zorunlu
BKR_008,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),booking_type=2 için prior_notice_last_day zorunlu
BKR_009,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),booking_type=2 için prior_notice_last_time zorunlu
BKR_010,Spec,Yuksek,hayır,Spec,GTFS_SPEC,HIGH,#booking_rulestxt,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),prior_notice_start_day belirtilmişse prior_notice_start_time zorunlu
BKR_011,Spec,Yuksek,hayır,Interop,MOBILITYDATA_PARITY,MEDIUM,#booking_rulestxt,yok,last_day>start_day pencere-mantığı; spec açık sayısal ordering normu net değil,prior_notice_last_day > prior_notice_start_day: rezervasyon penceresi geçersiz
CAL_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#calendartxt,Birincil anahtar benzersizliği (uniqueness),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),service_id yineleniyor
CAL_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#calendartxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Takvim gün alanı geçersiz değer
CAL_003,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#calendartxt,Required + format/enum,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),start_date eksik veya geçersiz format
CAL_004,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#calendartxt,Required + format/enum,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),end_date eksik veya geçersiz format
CAL_005,Spec,Kritik,EVET,Interop,MOBILITYDATA_PARITY,MEDIUM,#calendartxt,yok,start>end: spec açık ordering normu yok; MD ERROR paritesi — anchor bulunursa Spec'e döner,start_date end_date'den sonra
CAL_022,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#calendartxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),service_id eksik
CLD_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#calendar_datestxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),service_id eksik
CLD_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#calendar_datestxt,Required + format/enum,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),date eksik veya geçersiz format
CLD_003,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#calendar_datestxt,Required + format/enum,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),exception_type eksik veya geçersiz
CLD_005,Spec,Kritik,EVET,Quality,PROJECT_QUALITY,MEDIUM,—,yok,"""Makul yıl aralığı"" heuristik eşik; spec yalnız YYYYMMDD format ister, aralık değil",Tarih makul yıl aralığı dışında
DQ_021,Spec,Yuksek,EVET,Spec,GTFS_SPEC,HIGH,#term_definitions,Birincil anahtar benzersizliği (uniqueness),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Birincil anahtar yineleniyor — genel ikincil sinyal (STP_001/RTS_001 gibi entity-level kurallarla örtüşebilir)
FAR_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Birincil anahtar benzersizliği (uniqueness),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_id yineleniyor
FAR_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Required + format/enum,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),price eksik veya geçersiz
FAR_003,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),currency_type eksik
FAR_004,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),payment_method geçersiz
FAR_005,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),transfers geçersiz
FAR_006,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),transfer_duration geçersiz
FAR_008,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),agency_id bulunamadı
FAR_011,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),payment_method eksik
FAR_012,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_attributestxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_id eksik
FIN_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_publisher_name eksik
FIN_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Required + format/enum,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_publisher_url eksik veya geçersiz
FIN_003,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_lang eksik
FIN_004,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),default_lang geçersiz
FIN_005,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_start_date geçersiz
FIN_006,Spec,Yuksek,hayır,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_end_date geçersiz format (geçmiş tarih için FIN_010 kullanın)
FIN_008,Spec,Dusuk,hayır,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_contact_email geçersiz
FIN_009,Spec,Dusuk,hayır,Spec,GTFS_SPEC,HIGH,#feed_infotxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),feed_contact_url geçersiz
FLG_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_product_id bulunamadı
FLG_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),network_id bulunamadı
FLG_003,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),from_area_id bulunamadı
FLG_004,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),to_area_id bulunamadı
FLG_005,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),from_timeframe_group_id bulunamadı
FLG_006,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),to_timeframe_group_id bulunamadı
FLG_007,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#fare_leg_rulestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),rule_priority geçersiz
FMD_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_mediatxt,Birincil anahtar benzersizliği (uniqueness),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_media_id yineleniyor
FMD_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_mediatxt,Required + format/enum,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_media_type eksik veya geçersiz
FPD_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,MEDIUM,#fare_productstxt,Birincil anahtar (bileşik),fare_products PK bileşiktir (fare_product_id+rider_category_id+fare_media_id); yalnız fare_product_id yinelenmesi ihlal olmayabilir — kartı incele,fare_product_id yineleniyor
FPD_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_productstxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),amount eksik veya negatif
FPD_003,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_productstxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),currency geçersiz ISO 4217 kodu
FPD_004,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_productstxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_media_id bulunamadı
FPD_005,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_productstxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),rider_category_id bulunamadı
FPD_006,Spec,Orta,hayır,Spec,GTFS_SPEC,MEDIUM,#fare_productstxt,Koşullu kısıt,Tek varsayılan rider kategorisi kısıtı türetilmiş; spec ibaresi doğrulanmalı,Bir fare_product için birden fazla varsayılan rider category
FRL_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_rulestxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_id bulunamadı
FRL_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_rulestxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),route_id bulunamadı
FRL_003,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_rulestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),origin_id geçersiz
FRL_004,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_rulestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),destination_id geçersiz
FRL_005,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_rulestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),contains_id geçersiz
FRQ_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#frequenciestxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),trip_id bulunamadı
FRQ_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#frequenciestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),start_time geçersiz
FRQ_003,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#frequenciestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),end_time geçersiz
FRQ_004,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#frequenciestxt,Required + format/enum,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),headway_secs eksik veya geçersiz
FRQ_005,Spec,Kritik,EVET,Interop,MOBILITYDATA_PARITY,MEDIUM,#frequenciestxt,yok,end<start: spec açık ordering normu yok; MD paritesi,end_time start_time'dan önce
FRQ_007,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#frequenciestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),exact_times geçersiz
FRQ_008,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#frequenciestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),headway_secs sıfır (geçersiz frekans)
FRQ_011,Spec,Yuksek,hayır,Analytics,PROJECT_ANALYTICS,MEDIUM,—,yok,Çakışan frequency dönemleri türetilmiş tutarlılık; spec açık norm yok,Aynı trip için frequencies dönemleri zaman aralığı çakışıyor
FTR_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_transfer_rulestxt,Required + format/enum,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_transfer_type eksik veya geçersiz
FTR_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_transfer_rulestxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),from_leg_group_id bulunamadı
FTR_003,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_transfer_rulestxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),to_leg_group_id bulunamadı
FTR_004,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_transfer_rulestxt,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),fare_product_id bulunamadı
FTR_005,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#fare_transfer_rulestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),duration_limit_type geçersiz
FTR_006,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#fare_transfer_rulestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),duration_limit geçersiz
FTR_007,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#fare_transfer_rulestxt,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),duration_limit_type duration_limit olmadan tanımlı
FTR_008,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#fare_transfer_rulestxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),transfer_count geçersiz
FTR_009,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#fare_transfer_rulestxt,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),leg grupları aynıyken transfer_count zorunlu
FTR_010,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#fare_transfer_rulestxt,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),leg grupları farklıyken transfer_count tanımlanamaz
FTR_011,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#fare_transfer_rulestxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),duration_limit tanımlı ama duration_limit_type eksik
JPN_002,Spec,Yuksek,hayır,Interop,UNKNOWN,MEDIUM,—,yok,GTFS-JP profil kuralı — resmi GTFS spec değil; enum'a REGIONAL_PROFILE gerekebilir,GTFS-JP: jp_office_id office_jp.txt'te tanımlı değil
JPN_003,Spec,Yuksek,hayır,Interop,UNKNOWN,MEDIUM,—,yok,GTFS-JP profil FK — resmi GTFS spec değil,GTFS-JP: agency_jp.agency_id agency.txt'te tanımlı değil
JPN_004,Spec,Yuksek,hayır,Interop,UNKNOWN,MEDIUM,—,yok,GTFS-JP profil zorunluluğu — resmi GTFS spec değil,GTFS-JP: translations.txt eksik (profil zorunlu kılar)
JPN_005,Spec,Yuksek,hayır,Interop,UNKNOWN,MEDIUM,—,yok,GTFS-JP profil zorunlu alan — resmi GTFS spec değil,GTFS-JP: office_jp.office_name boş (zorunlu alan)
JPN_011,Spec,Yuksek,hayır,Interop,UNKNOWN,MEDIUM,—,yok,GTFS-JP profil kuralı — resmi GTFS spec değil,GTFS-JP: tek işletici olsa bile agency_id zorunlu
LOC_001,Spec,Yuksek,hayır,Spec,GTFS_SPEC,HIGH,#locationsgeojson,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),locations.geojson'da bilinmeyen veya geçersiz geometri tipi
LOC_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#locationsgeojson,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Feature'da geometry null veya eksik — GTFS Flex gerektiriyor
LOC_003,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#locationsgeojson,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Feature'da 'id' property eksik — stop_times çapraz referansı için zorunlu
LOC_004,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#locationsgeojson,Normatif kısıt,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),Polygon ring kapalı değil (ilk != son nokta)
LOC_007,Spec,Orta,hayır,Spec,GTFS_SPEC,HIGH,#locationsgeojson,Yabancı anahtar (foreign key),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),FeatureCollection içinde yinelenen 'id' değeri — Flex referansı belirsizleşir
LVL_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#levelstxt,Birincil anahtar benzersizliği (uniqueness),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),level_id yineleniyor
LVL_002,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#levelstxt,Enum / format kısıtı,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),level_index geçersiz
LVL_007,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#levelstxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),level_index eksik
LVL_008,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#levelstxt,Required alan/dosya,Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),level_id eksik
NET_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#networkstxt,Birincil anahtar benzersizliği (uniqueness),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),network_id yineleniyor
PDW_006,Spec,Orta,hayır,Analytics,PROJECT_ANALYTICS,MEDIUM,—,yok,Örtüşen pickup/dropoff penceresi türetilmiş; spec açık norm yok,Aynı trip+zone'da örtüşen pickup/drop-off penceresi
PTH_001,Spec,Kritik,EVET,Spec,GTFS_SPEC,HIGH,#pathwaystxt,Birincil anahtar benzersizliği (uniqueness),Açık GTFS normatif kısıt (required/enum/FK/uniqueness/format),pathway_id yineleniyor
